c_fd_code,c_report_date,c_bd_code,c_bd_type,c_style,c_notice_date,c_bd_inner_code,c_bd_name,c_hold_num,c_hold_value,c_nav_ratio,c_is_stat
000196,2025-06-30,113037,1,05,2025-07-21,1002311890,紫银转债,13980.000000,1594888.190000,2.010000,0
000196,2025-06-30,113037,2,05,2025-07-21,1002311890,紫银转债,,1594888.190000,2.010000,0
000197,2025-12-31,250215,1,06,2026-01-22,1004281691,25国开15,1100000.000000,108174602.740000,3.580000,-1
000197,2025-12-31,524180,1,06,2026-01-22,1004170466,25国证03,760000.000000,77740229.260000,2.580000,-1
000197,2025-12-31,210210,1,06,2026-01-22,1002653988,21国开10,700000.000000,76988263.010000,2.550000,-1
000197,2025-12-31,200210,1,06,2026-01-22,1002274510,20国开10,700000.000000,75066427.400000,2.490000,-1
000197,2025-12-31,240682,1,06,2026-01-22,1003763186,24银河C2,700000.000000,72872876.710000,2.410000,-1
000197,2025-09-30,2322005,1,03,2025-10-28,1003534566,23奔驰汽车债01,1000000.000000,101368000.000000,3.340000,-1
000197,2025-09-30,524180,1,03,2025-10-28,1004170466,25国证03,760000.000000,77118878.250000,2.540000,-1
000197,2025-09-30,210210,1,03,2025-10-28,1002653988,21国开10,700000.000000,76400608.220000,2.520000,-1
000197,2025-09-30,200210,1,03,2025-10-28,1002274510,20国开10,700000.000000,74626232.880000,2.460000,-1
000197,2025-09-30,240682,1,03,2025-10-28,1003763186,24银河C2,700000.000000,72022712.330000,2.380000,-1
000197,2025-06-30,2322005,1,02,2025-08-30,1003534566,23奔驰汽车债01,1000000.000000,103713397.260000,3.410000,-1
000197,2025-06-30,2322005,1,05,2025-07-21,1003534566,23奔驰汽车债01,1000000.000000,103713397.260000,3.410000,-1
000197,2025-06-30,240682,1,02,2025-08-30,1003763186,24银河C2,800000.000000,83004054.790000,2.730000,-1
000197,2025-06-30,240682,1,05,2025-07-21,1003763186,24银河C2,800000.000000,83004054.790000,2.730000,-1
000197,2025-06-30,210210,1,02,2025-08-30,1002653988,21国开10,700000.000000,76820953.420000,2.520000,-1
000197,2025-06-30,210210,1,05,2025-07-21,1002653988,21国开10,700000.000000,76820953.420000,2.520000,-1
000197,2025-06-30,200210,1,02,2025-08-30,1002274510,20国开10,700000.000000,74823038.360000,2.460000,-1
000197,2025-06-30,200210,1,05,2025-07-21,1002274510,20国开10,700000.000000,74823038.360000,2.460000,-1
000197,2025-06-30,102581180,1,05,2025-07-21,1004169393,25中电投MTN005(能源保供特别债),700000.000000,71366630.140000,2.340000,-1
000197,2025-06-30,102581180,1,02,2025-08-30,1004169393,25中电投MTN005(能源保供特别债),700000.000000,71366630.140000,2.340000,-1
000198,2025-12-31,112515254,1,06,2026-01-22,1004396596,25民生银行CD254,31000000.000000,3075141085.350000,0.400000,-1
000198,2025-12-31,112515106,1,06,2026-01-22,1004234348,25民生银行CD106,30000000.000000,2981741673.460000,0.390000,-1
000198,2025-12-31,112581983,1,06,2026-01-22,1004374838,25宁波银行CD176,20000000.000000,1994403756.090000,0.260000,-1
000198,2025-12-31,112581946,1,06,2026-01-22,1004374756,25南京银行CD192,20000000.000000,1994403756.090000,0.260000,-1
000198,2025-12-31,112516115,1,06,2026-01-22,1004374737,25上海银行CD115,20000000.000000,1994403756.090000,0.260000,-1
