c_trade_date,c_fd_code,c_nav,c_nav_acc,c_nav_adj,c_nav_adj_pre,c_ret_tw,c_ret_tm,c_ret_adj_estab,c_ret_estab,c_ret_ann,c_ret_1w,c_ret_1m,c_ret_3m,c_ret_6m,c_ret_1y,c_ret_2y,c_ret_3y,c_ret_4y,c_ret_5y,c_ret_ytd,c_ret_ly,c_ret_2ya,c_ret_3ya,c_ret_4ya,c_ret_5ya,c_log_ret_adj,c_purchase_status,c_redeem_status,c_ret_1d,c_is_predict,c_ret_1d_raw,c_is_trade
2025-12-01,000067,0.814600,1.214600,1.135625,1.133812,0.159843,0.159843,13.562463,-18.540000,1.011846,-0.354740,-0.305960,1.104630,6.067708,13.138889,12.669433,-2.091346,-25.878071,-3.254157,9.342282,2.617080,-8.217446,-26.555246,23.935558,15.558511,0.001597,暂停大额申购,开放赎回,0.001598,0,0.001598,1.000000
2025-12-02,000067,0.811500,1.211500,1.131303,1.135625,-0.221321,-0.221321,13.130296,-18.850000,0.981149,-0.915751,-0.685351,1.083707,5.664062,11.776860,12.240664,-2.463942,-26.025524,-3.736655,8.926175,2.617080,-8.217446,-26.555246,23.935558,15.558511,-0.003813,暂停大额申购,开放赎回,-0.003806,0,-0.003806,1.000000
2025-12-03,000067,0.810300,1.210300,1.129630,1.131303,-0.368868,-0.368868,12.963005,-18.970000,0.969112,-0.332103,-1.447336,0.808659,5.206440,11.458047,12.074689,-2.608173,-26.735986,-3.420739,8.765101,2.617080,-8.217446,-26.555246,23.935558,15.558511,-0.001480,暂停大额申购,开放赎回,-0.001479,0,-0.001479,1.000000
2025-12-04,000067,0.807000,1.207000,1.125030,1.129630,-0.774622,-0.774622,12.502956,-19.300000,0.936311,-0.431832,-1.332681,0.086816,4.560767,11.310345,11.004127,-3.004808,-27.034358,-4.042806,8.322148,2.617080,-8.217446,-26.555246,23.935558,15.558511,-0.004081,暂停大额申购,开放赎回,-0.004073,0,-0.004073,1.000000
2025-12-05,000067,0.812200,1.212200,1.132279,1.125030,-0.135251,-0.135251,13.227882,-18.780000,0.987395,-0.135251,-1.563447,-0.575346,5.453129,11.565934,12.805556,-2.846890,-26.564195,-3.424495,9.020134,2.617080,-8.217446,-26.555246,23.935558,15.558511,0.006423,暂停大额申购,开放赎回,0.006444,0,0.006444,1.000000
2025-12-06,000067,0.812200,1.212200,1.132279,1.132279,-0.135251,-0.135251,13.227882,-18.780000,0.987180,-0.135251,-1.706402,-0.575346,5.220884,11.108071,12.805556,-3.078759,-25.073801,-3.424495,9.020134,2.617080,-8.217446,-26.555246,23.935558,15.558511,0.000000,暂停大额申购,开放赎回,0.000000,1,,0.000000
2025-12-07,000067,0.812200,1.212200,1.132279,1.132279,-0.135251,-0.135251,13.227882,-18.780000,0.986965,-0.135251,-2.061980,-0.575346,5.220884,11.108071,12.805556,-2.379808,-22.573880,-3.424495,9.020134,2.617080,-8.217446,-26.555246,23.935558,15.558511,0.000000,暂停大额申购,开放赎回,0.000000,1,,0.000000
2025-12-08,000067,0.812600,1.212600,1.132836,1.132279,0.049249,-0.086069,13.283645,-18.740000,0.990680,-0.245519,-2.013747,-0.950756,5.272704,11.162791,12.861111,-2.331731,-23.913858,-3.491686,9.073825,2.617080,-8.217446,-26.555246,23.935558,15.558511,0.000492,暂停大额申购,开放赎回,0.000492,0,0.000492,1.000000
2025-12-09,000067,0.809400,1.209400,1.128375,1.132836,-0.344743,-0.479528,12.837537,-19.060000,0.958981,-0.258780,-2.399614,-1.099707,4.573643,10.422920,12.416667,-2.949640,-24.706977,-3.297491,8.644295,2.617080,-8.217446,-26.555246,23.935558,15.558511,-0.003946,暂停大额申购,开放赎回,-0.003938,0,-0.003938,1.000000
2025-12-10,000067,0.810000,1.210000,1.129212,1.128375,-0.270869,-0.405754,12.921182,-19.000000,0.964683,-0.037023,-3.063667,-0.710959,4.718811,9.459459,12.500000,-2.877698,-25.345622,-3.110048,8.724832,2.617080,-8.217446,-26.555246,23.935558,15.558511,0.000741,暂停大额申购,开放赎回,0.000741,0,0.000741,1.000000
